numbers,powerball,date_format
"['2', '8', '22', '35', '37']",6,2013-07-13
"['30', '31', '45', '55', '59']",27,2013-07-10
"['2', '13', '35', '36', '52']",11,2013-07-06
"['3', '6', '29', '40', '51']",4,2013-07-03
"['8', '28', '30', '53', '56']",16,2013-06-29
"['1', '18', '33', '39', '46']",33,2013-06-26
"['13', '19', '23', '33', '57']",28,2013-06-22
"['7', '46', '47', '52', '57']",17,2013-06-19
"['28', '36', '40', '48', '55']",1,2013-06-15
"['16', '22', '23', '42', '55']",32,2013-06-12
"['2', '11', '22', '26', '32']",19,2013-06-08
"['4', '26', '33', '36', '55']",32,2013-06-05
"['22', '28', '33', '53', '59']",14,2013-06-01
"['9', '14', '17', '49', '57']",2,2013-05-29
"['2', '6', '19', '21', '27']",25,2013-05-25
"['9', '31', '35', '41', '57']",26,2013-05-22
"['10', '13', '14', '22', '52']",11,2013-05-18
"['2', '11', '26', '34', '41']",32,2013-05-15
"['6', '13', '19', '23', '43']",16,2013-05-11
"['21', '22', '26', '30', '57']",27,2013-05-08
"['7', '12', '26', '36', '40']",17,2013-05-04
"['22', '26', '31', '54', '55']",18,2013-05-01
"['3', '23', '48', '54', '55']",5,2013-04-27
"['9', '19', '31', '56', '59']",2,2013-04-24
"['6', '8', '30', '39', '48']",20,2013-04-20
"['13', '18', '36', '48', '58']",28,2013-04-17
"['10', '12', '31', '56', '57']",33,2013-04-13
"['1', '36', '40', '52', '53']",20,2013-04-10
"['4', '7', '8', '29', '39']",24,2013-04-06
"['1', '6', '8', '12', '35']",3,2013-04-03
"['11', '23', '26', '46', '55']",27,2013-03-30
"['7', '37', '43', '48', '52']",16,2013-03-27
"['17', '29', '31', '52', '53']",31,2013-03-23
"['13', '14', '17', '43', '54']",15,2013-03-20
"['3', '7', '21', '44', '53']",16,2013-03-16
"['5', '9', '28', '32', '38']",29,2013-03-13
"['10', '37', '40', '46', '52']",12,2013-03-09
"['6', '10', '23', '41', '45']",1,2013-03-06
"['3', '8', '13', '41', '56']",16,2013-03-02
"['3', '14', '20', '34', '48']",21,2013-02-27
"['2', '5', '31', '39', '41']",29,2013-02-23
"['3', '17', '19', '25', '32']",17,2013-02-20
"['15', '16', '46', '50', '58']",29,2013-02-16
"['12', '23', '25', '27', '43']",29,2013-02-13
"['5', '6', '16', '36', '58']",3,2013-02-09
"['5', '27', '36', '38', '41']",12,2013-02-06
"['11', '16', '33', '40', '41']",34,2013-02-02
"['14', '16', '32', '47', '52']",16,2013-01-30
"['3', '22', '26', '41', '49']",18,2013-01-26
"['11', '12', '24', '43', '45']",9,2013-01-23
"['8', '28', '29', '34', '38']",35,2013-01-19
"['9', '21', '28', '32', '51']",35,2013-01-16
"['10', '14', '21', '23', '47']",7,2013-01-12
"['11', '13', '20', '27', '59']",26,2013-01-09
"['26', '30', '49', '51', '54']",25,2013-01-05
"['18', '20', '28', '35', '53']",20,2013-01-02
"['36', '46', '50', '52', '55']",14,2012-12-29
"['11', '13', '23', '43', '54']",4,2012-12-26
"['1', '18', '35', '39', '44']",11,2012-12-22
"['5', '8', '20', '23', '30']",3,2012-12-19
"['15', '23', '40', '44', '55']",14,2012-12-15
"['8', '10', '25', '36', '44']",28,2012-12-12
"['7', '23', '26', '40', '53']",21,2012-12-08
"['13', '17', '19', '27', '38']",12,2012-12-05
"['3', '10', '19', '36', '46']",3,2012-12-01
"['5', '16', '22', '23', '29']",6,2012-11-28
"['22', '32', '37', '44', '50']",34,2012-11-24
"['8', '18', '24', '30', '39']",26,2012-11-21
"['3', '15', '27', '58', '59']",20,2012-11-17
"['8', '10', '30', '44', '58']",13,2012-11-14
"['32', '42', '50', '54', '55']",32,2012-11-10
"['32', '34', '45', '52', '58']",20,2012-11-07
"['4', '7', '9', '30', '54']",25,2012-11-03
"['1', '27', '31', '45', '48']",5,2012-10-31
"['22', '32', '34', '36', '56']",33,2012-10-27
"['3', '18', '21', '23', '50']",4,2012-10-24
"['4', '21', '28', '31', '44']",10,2012-10-20
"['1', '7', '10', '23', '42']",35,2012-10-17
"['2', '5', '25', '26', '49']",18,2012-10-13
