date,numbers,powerball
12/14/2013,"['14', '25', '32', '33', '41']",34
12/11/2013,"['1', '10', '13', '18', '19']",27
12/7/2013,"['13', '20', '32', '45', '48']",17
12/4/2013,"['6', '9', '11', '31', '44']",25
11/30/2013,"['5', '26', '44', '45', '57']",29
11/27/2013,"['18', '25', '50', '55', '57']",17
11/23/2013,"['5', '12', '43', '52', '55']",10
11/20/2013,"['4', '18', '23', '32', '45']",7
11/16/2013,"['10', '29', '37', '44', '59']",10
11/13/2013,"['5', '31', '50', '55', '56']",9
11/9/2013,"['3', '9', '37', '49', '56']",32
11/6/2013,"['1', '5', '10', '15', '49']",22
11/2/2013,"['13', '23', '24', '27', '40']",17
10/30/2013,"['2', '36', '40', '49', '54']",10
10/26/2013,"['4', '6', '34', '49', '56']",29
10/23/2013,"['3', '23', '31', '34', '47']",13
10/19/2013,"['9', '33', '54', '56', '57']",5
10/16/2013,"['3', '26', '28', '34', '42']",28
10/12/2013,"['8', '10', '26', '57', '58']",4
10/9/2013,"['3', '9', '19', '33', '38']",18
10/5/2013,"['11', '12', '17', '39', '40']",5
10/2/2013,"['4', '6', '25', '42', '51']",17
9/28/2013,"['14', '47', '52', '53', '54']",5
9/25/2013,"['2', '7', '17', '49', '53']",23
9/21/2013,"['12', '17', '45', '54', '58']",13
9/18/2013,"['7', '10', '22', '32', '35']",19
9/14/2013,"['1', '17', '25', '37', '44']",20
9/11/2013,"['11', '19', '33', '42', '52']",33
9/7/2013,"['2', '19', '22', '26', '45']",24
9/4/2013,"['2', '9', '26', '45', '47']",11
8/31/2013,"['2', '7', '25', '40', '56']",20
8/28/2013,"['6', '7', '9', '19', '32']",13
8/24/2013,"['12', '17', '25', '45', '59']",19
8/21/2013,"['30', '40', '42', '46', '48']",23
8/17/2013,"['18', '21', '46', '54', '56']",23
8/14/2013,"['4', '11', '17', '43', '51']",20
8/10/2013,"['4', '12', '14', '37', '58']",13
8/7/2013,"['5', '25', '30', '58', '59']",32
8/3/2013,"['21', '24', '36', '42', '45']",15
7/31/2013,"['8', '24', '39', '49', '59']",5
7/27/2013,"['9', '23', '40', '53', '58']",6
7/24/2013,"['9', '29', '40', '44', '54']",7
7/20/2013,"['14', '25', '27', '38', '58']",6
7/17/2013,"['1', '22', '34', '38', '42']",17
7/13/2013,"['2', '8', '22', '35', '37']",6
7/10/2013,"['30', '31', '45', '55', '59']",27
7/6/2013,"['2', '13', '35', '36', '52']",11
7/3/2013,"['3', '6', '29', '40', '51']",4
6/29/2013,"['8', '28', '30', '53', '56']",16
6/26/2013,"['1', '18', '33', '39', '46']",33
6/22/2013,"['13', '19', '23', '33', '57']",28
6/19/2013,"['7', '46', '47', '52', '57']",17
6/15/2013,"['28', '36', '40', '48', '55']",1
6/12/2013,"['16', '22', '23', '42', '55']",32
6/8/2013,"['2', '11', '22', '26', '32']",19
6/5/2013,"['4', '26', '33', '36', '55']",32
6/1/2013,"['22', '28', '33', '53', '59']",14
5/29/2013,"['9', '14', '17', '49', '57']",2
5/25/2013,"['2', '6', '19', '21', '27']",25
5/22/2013,"['9', '31', '35', '41', '57']",26
5/18/2013,"['10', '13', '14', '22', '52']",11
5/15/2013,"['2', '11', '26', '34', '41']",32
5/11/2013,"['6', '13', '19', '23', '43']",16
5/8/2013,"['21', '22', '26', '30', '57']",27
5/4/2013,"['7', '12', '26', '36', '40']",17
5/1/2013,"['22', '26', '31', '54', '55']",18
4/27/2013,"['3', '23', '48', '54', '55']",5
4/24/2013,"['9', '19', '31', '56', '59']",2
4/20/2013,"['6', '8', '30', '39', '48']",20
4/17/2013,"['13', '18', '36', '48', '58']",28
4/13/2013,"['10', '12', '31', '56', '57']",33
4/10/2013,"['1', '36', '40', '52', '53']",20
4/6/2013,"['4', '7', '8', '29', '39']",24
4/3/2013,"['1', '6', '8', '12', '35']",3
3/30/2013,"['11', '23', '26', '46', '55']",27
3/27/2013,"['7', '37', '43', '48', '52']",16
3/23/2013,"['17', '29', '31', '52', '53']",31
3/20/2013,"['13', '14', '17', '43', '54']",15
3/16/2013,"['3', '7', '21', '44', '53']",16
3/13/2013,"['5', '9', '28', '32', '38']",29
3/9/2013,"['10', '37', '40', '46', '52']",12
3/6/2013,"['6', '10', '23', '41', '45']",1
3/2/2013,"['3', '8', '13', '41', '56']",16
2/27/2013,"['3', '14', '20', '34', '48']",21
2/23/2013,"['2', '5', '31', '39', '41']",29
2/20/2013,"['3', '17', '19', '25', '32']",17
2/16/2013,"['15', '16', '46', '50', '58']",29
2/13/2013,"['12', '23', '25', '27', '43']",29
2/9/2013,"['5', '6', '16', '36', '58']",3
2/6/2013,"['5', '27', '36', '38', '41']",12
2/2/2013,"['11', '16', '33', '40', '41']",34
1/30/2013,"['14', '16', '32', '47', '52']",16
1/26/2013,"['3', '22', '26', '41', '49']",18
1/23/2013,"['11', '12', '24', '43', '45']",9
1/19/2013,"['8', '28', '29', '34', '38']",35
1/16/2013,"['9', '21', '28', '32', '51']",35
1/12/2013,"['10', '14', '21', '23', '47']",7
1/9/2013,"['11', '13', '20', '27', '59']",26
1/5/2013,"['26', '30', '49', '51', '54']",25
1/2/2013,"['18', '20', '28', '35', '53']",20
12/29/2012,"['36', '46', '50', '52', '55']",14
12/26/2012,"['11', '13', '23', '43', '54']",4
12/22/2012,"['1', '18', '35', '39', '44']",11
12/19/2012,"['5', '8', '20', '23', '30']",3
12/15/2012,"['15', '23', '40', '44', '55']",14
12/12/2012,"['8', '10', '25', '36', '44']",28
12/8/2012,"['7', '23', '26', '40', '53']",21
12/5/2012,"['13', '17', '19', '27', '38']",12
12/1/2012,"['3', '10', '19', '36', '46']",3
11/28/2012,"['5', '16', '22', '23', '29']",6
11/24/2012,"['22', '32', '37', '44', '50']",34
11/21/2012,"['8', '18', '24', '30', '39']",26
11/17/2012,"['3', '15', '27', '58', '59']",20
11/14/2012,"['8', '10', '30', '44', '58']",13
11/10/2012,"['32', '42', '50', '54', '55']",32
11/7/2012,"['32', '34', '45', '52', '58']",20
11/3/2012,"['4', '7', '9', '30', '54']",25
10/31/2012,"['1', '27', '31', '45', '48']",5
10/27/2012,"['22', '32', '34', '36', '56']",33
10/24/2012,"['3', '18', '21', '23', '50']",4
10/20/2012,"['4', '21', '28', '31', '44']",10
10/17/2012,"['1', '7', '10', '23', '42']",35
10/13/2012,"['2', '5', '25', '26', '49']",18
