date,pb_winners,pp_winners,states,total_winners
11/1/2017,1317,1344,Arkansas,2661
11/1/2017,42236,0,California,42236
11/1/2017,3543,3258,Colorado,6801
11/1/2017,4487,2673,Connecticut,7160
11/1/2017,1880,366,Delaware,2246
11/1/2017,1001,224,Dist. of Columbia,1225
11/1/2017,29692,9612,Florida,39304
11/1/2017,11339,1644,Georgia,12983
11/1/2017,2421,758,Idaho,3179
11/1/2017,10427,2276,Illinois,12703
11/1/2017,6913,1811,Indiana,8724
11/1/2017,3573,1637,Iowa,5210
11/1/2017,3302,514,Kansas,3816
11/1/2017,6342,1121,Kentucky,7463
11/1/2017,6536,2288,Louisiana,8824
11/1/2017,972,1044,Maine,2016
11/1/2017,8047,1379,Maryland,9426
11/1/2017,8629,1365,Massachusetts,9994
11/1/2017,11116,1639,Michigan,12755
11/1/2017,6016,671,Minnesota,6687
11/1/2017,8223,836,Missouri,9059
11/1/2017,837,540,Montana,1377
11/1/2017,3151,685,Nebraska,3836
11/1/2017,2751,502,New Hampshire,3253
11/1/2017,15917,2362,New Jersey,18279
11/1/2017,2025,852,New Mexico,2877
11/1/2017,29847,3331,New York,33178
11/1/2017,9595,3977,North Carolina,13572
11/1/2017,456,556,North Dakota,1012
11/1/2017,8950,2749,Ohio,11699
11/1/2017,2068,1905,Oklahoma,3973
11/1/2017,4243,917,Oregon,5160
11/1/2017,14321,5130,Pennsylvania,19451
11/1/2017,3,2,Puerto Rico,5
11/1/2017,2026,694,Rhode Island,2720
11/1/2017,4124,3498,South Carolina,7622
11/1/2017,953,406,South Dakota,1359
11/1/2017,6583,3179,Tennessee,9762
11/1/2017,17957,8662,Texas,26619
11/1/2017,465,381,Vermont,846
11/1/2017,0,0,Virgin Islands,0
11/1/2017,9053,2476,Virginia,11529
11/1/2017,4988,916,Washington,5904
11/1/2017,2970,616,West Virginia,3586
11/1/2017,6786,1624,Wisconsin,8410
11/1/2017,578,434,Wyoming,1012
10/28/2017,10166,1997,Arizona,12163
10/28/2017,1614,1628,Arkansas,3242
10/28/2017,48983,0,California,48983
10/28/2017,3876,3985,Colorado,7861
10/28/2017,5575,3300,Connecticut,8875
10/28/2017,2334,486,Delaware,2820
10/28/2017,1051,270,Dist. of Columbia,1321
10/28/2017,38859,12682,Florida,51541
10/28/2017,14065,1960,Georgia,16025
10/28/2017,2755,870,Idaho,3625
10/28/2017,12126,2776,Illinois,14902
10/28/2017,9089,2300,Indiana,11389
10/28/2017,4028,1927,Iowa,5955
10/28/2017,3804,567,Kansas,4371
10/28/2017,7786,1336,Kentucky,9122
10/28/2017,7566,2869,Louisiana,10435
10/28/2017,1184,1307,Maine,2491
10/28/2017,10664,1722,Maryland,12386
10/28/2017,10780,1649,Massachusetts,12429
10/28/2017,13181,1768,Michigan,14949
10/28/2017,6593,749,Minnesota,7342
10/28/2017,9636,1036,Missouri,10672
10/28/2017,926,551,Montana,1477
10/28/2017,3680,716,Nebraska,4396
10/28/2017,3457,657,New Hampshire,4114
10/28/2017,18775,2854,New Jersey,21629
10/28/2017,2172,879,New Mexico,3051
10/28/2017,34960,3800,New York,38760
10/28/2017,12704,5741,North Carolina,18445
10/28/2017,503,652,North Dakota,1155
10/28/2017,10658,3280,Ohio,13938
10/28/2017,2539,2416,Oklahoma,4955
10/28/2017,4266,1087,Oregon,5353
10/28/2017,18679,6705,Pennsylvania,25384
10/28/2017,0,1,Puerto Rico,1
10/28/2017,2645,940,Rhode Island,3585
10/28/2017,5459,5168,South Carolina,10627
10/28/2017,1022,405,South Dakota,1427
10/28/2017,8211,4239,Tennessee,12450
10/28/2017,23371,11397,Texas,34768
